Title,Authors,Method,Method family,Pretraining datasets,Evaluation datasets,All datasets,Year,Venue,Is NeurIPS,Publication status,DOI,arXiv ID,Paper URL,Code URL,Dataset notes,Verified as of
Video Compression and Action Recognition in Self-supervised Learning,Zongbo Hao; Conghui Hao; Kecheng He,Spatiotemporal-context auxiliary learning for compression and recognition,Pretext / Predictive,UCF101,UCF101,UCF101,2024,IPEC 2024,No,peer_reviewed,10.1109/IPEC61310.2024.00022,,https://ieeexplore.ieee.org/document/10695541,,"The accessible IEEE abstract explicitly identifies UCF101; no second named dataset is exposed in the accessible primary-source metadata, so none is guessed.",2026-08-11
VideoMAC: Video Masked Autoencoders Meet ConvNets,"Gensheng Pei, Tao Chen, Xiruo Jiang, Huafeng Liu, Zeren Sun, Yazhou Yao",VideoMAC,Generative / Masked,Kinetics-400,DAVIS 2017; VIP; JHMDB,Kinetics-400; DAVIS 2017; VIP; JHMDB,2024,CVPR 2024,No,peer_reviewed,10.1109/CVPR52733.2024.02145,,https://openaccess.thecvf.com/content/CVPR2024/html/Pei_VideoMAC_Video_Masked_Autoencoders_Meet_ConvNets_CVPR_2024_paper.html,,,2026-08-11
What When and Where? Self-Supervised Spatio-Temporal Grounding in Untrimmed Multi-Action Videos from Narrated Instructions,"Brian Chen, Nina Shvetsova, Andrew Rouditchenko, Daniel Kondermann, Samuel Thomas, Shih-Fu Chang, Rogerio Feris, James Glass, Hilde Kuehne",Self-supervised narrated spatiotemporal grounding,Multimodal / Audio-Visual,HowTo100M,MiningYouTube; YouCook-Interactions; YouCook2,HowTo100M; MiningYouTube; YouCook-Interactions; YouCook2,2024,CVPR 2024,No,peer_reviewed,10.1109/CVPR52733.2024.01743,,https://openaccess.thecvf.com/content/CVPR2024/html/Chen_What_When_and_Where_Self-Supervised_Spatio-Temporal_Grounding_in_Untrimmed_Multi-Action_CVPR_2024_paper.html,,"MiningYouTube is introduced by the paper with more than 5,000 events across 250 multi-action videos.",2026-08-11
XKD: Cross-modal Knowledge Distillation with Domain Alignment for Video Representation Learning,"Pritam Sarkar, Ali Etemad",XKD,Multimodal / Audio-Visual,Kinetics-Sounds; Kinetics-400; AudioSet,Kinetics-400; UCF101; HMDB51; Kinetics-Sounds; ESC-50; FSD50K,Kinetics-Sounds; Kinetics-400; AudioSet; UCF101; HMDB51; ESC-50; FSD50K,2024,AAAI 2024,No,peer_reviewed,10.1609/aaai.v38i13.29407,2211.13929,https://ojs.aaai.org/index.php/AAAI/article/view/29407,https://github.com/pritamqu/XKD,,2026-08-11
AdaMAE: Adaptive Masking for Efficient Spatiotemporal Learning with Masked Autoencoders,"Wele Gedara Chaminda Bandara, Naman Patel, Ali Gholami, Mehdi Nikkhah, Motilal Agrawal, Vishal M. Patel",AdaMAE,Generative / Masked,Something-Something V2; Kinetics-400,Something-Something V2; Kinetics-400,Something-Something V2; Kinetics-400,2023,CVPR 2023,No,peer_reviewed,,2211.09120,https://openaccess.thecvf.com/content/CVPR2023/html/Bandara_AdaMAE_Adaptive_Masking_for_Efficient_Spatiotemporal_Learning_With_Masked_Autoencoders_CVPR_2023_paper.html,,,2026-08-11
Attentive spatial-temporal contrastive learning for self-supervised video representation,"Xingming Yang, Sixuan Xiong, Kewei Wu, Dongfeng Shan, Zhao Xie",ASTCNet,Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,Image and Vision Computing 2023,No,peer_reviewed,10.1016/j.imavis.2023.104765,,https://www.sciencedirect.com/science/article/pii/S0262885623001397,,,2026-08-11
Audio-Visual Contrastive Learning with Temporal Self-Supervision,"Simon Jenni, Alexander Black, and John Collomosse",Audio-visual contrastive learning with temporal self-supervision,Multimodal / Audio-Visual,Kinetics-600; Kinetics-400,UCF101; HMDB51; ESC-50; VGGSound; Kinetics-600,Kinetics-600; Kinetics-400; UCF101; HMDB51; ESC-50; VGGSound,2023,AAAI 2023,No,peer_reviewed,10.1609/aaai.v37i7.25967,2302.07702,https://ojs.aaai.org/index.php/AAAI/article/view/25967,,,2026-08-11
AV-MaskEnhancer: Enhancing Video Representations through Audio-Visual Masked Autoencoder,"Xingjian Diao, Ming Cheng, Shitong Cheng",AV-MaskEnhancer,Multimodal / Audio-Visual,Kinetics-400,UCF101,Kinetics-400; UCF101,2023,ICTAI 2023,No,peer_reviewed,,2309.08738,https://ieeexplore.ieee.org/document/10356561,,,2026-08-11
Cali-NCE: Boosting Cross-Modal Video Representation Learning With Calibrated Alignment,"Zhao, N., Jiao, J., Xie, W., & Lin, D.",Cali-NCE,Multimodal / Audio-Visual,WebVid-2M,MSR-VTT; MSVD; UCF101; HMDB51,WebVid-2M; MSR-VTT; MSVD; UCF101; HMDB51,2023,CVPR Workshops 2023,No,peer_reviewed,,,https://openaccess.thecvf.com/content/CVPR2023W/WFM/html/Zhao_Cali-NCE_Boosting_Cross-Modal_Video_Representation_Learning_With_Calibrated_Alignment_CVPRW_2023_paper.html,,The controlled robustness experiment trains on a randomly selected one-sixth subset of WebVid-2M.,2026-08-11
CHAIN: Exploring Global-Local Spatio-Temporal Information for Improved Self-Supervised Video Hashing,"Rukai Wei, Yu Liu, Jingkuan Song, Heng Cui, Yanzhao Xie, Ke Zhou",CHAIN,Other / Hybrid,FCVID; UCF101; ActivityNet; HMDB51,FCVID; UCF101; ActivityNet; HMDB51,FCVID; UCF101; ActivityNet; HMDB51,2023,ACM Multimedia 2023,No,peer_reviewed,10.1145/3581783.3613440,,https://dl.acm.org/doi/10.1145/3581783.3613440,,,2026-08-11
CMAE-V: Contrastive Masked Autoencoders for Video Action Recognition,"Cheng-Ze Lu, Xiaojie Jin, Zhicheng Huang, Qibin Hou, Ming-Ming Cheng, Jiashi Feng",CMAE-V,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2023,arXiv / Preprint,No,preprint,,2301.06018,https://arxiv.org/abs/2301.06018,,,2026-08-11
Concatenated Masked Autoencoders as Spatial-Temporal Learner,"Zhouqiang Jiang, Bowen Wang, Tong Xiang, Zhaofeng Niu, Hong Tang, Guangshun Li, Liangzhi Li",CatMAE,Generative / Masked,Kinetics-400,DAVIS 2017; Kinetics-400,Kinetics-400; DAVIS 2017,2023,arXiv / Preprint,No,preprint,,2311.00961,https://arxiv.org/abs/2311.00961,,,2026-08-11
Consistent Intra-video Contrastive Learning with Asynchronous Long-term Memory Bank,"Zelin Chen, Kun-Yu Lin, Wei-Shi Zheng",Consistent Intra-Video Contrastive Learning,Contrastive,Kinetics-400; UCF101,UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2023,IEEE Transactions on Circuits and Systems for Video Technology 2023,No,peer_reviewed,10.1109/TCSVT.2022.3207174,,https://ieeexplore.ieee.org/document/9893855,,,2026-08-11
Continuous frame motion sensitive self-supervised collaborative network for video representation learning,"Shuai Bi, Zhengping Hu, Mengyao Zhao, Hehao Zhang, Jirui Di, and Zhe Sun",Continuous-frame motion-sensitive collaborative network,Other / Hybrid,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,Advanced Engineering Informatics 2023,No,peer_reviewed,10.1016/j.aei.2023.101941,,https://www.sciencedirect.com/science/article/pii/S1474034623000691,,,2026-08-11
Cross-modal Manifold Cutmix for Self-supervised Video Representation Learning,Srijan Das; Michael Ryoo,Cross-modal Manifold CutMix (CMMC / STC-mix),Multimodal / Audio-Visual,UCF101; HMDB51; NTU RGB+D 60,UCF101; HMDB51; NTU RGB+D 60,UCF101; HMDB51; NTU RGB+D 60,2023,MVA 2023,No,peer_reviewed,,,https://ieeexplore.ieee.org/document/10216260,,,2026-08-11
Data-Efficient Masked Video Modeling for Self-supervised Action Recognition,"Qiankun Li, Xiaolong Huang, Zhifan Wan, Lanqing Hu, Shuzhe Wu, Jie Zhang, Shiguang Shan, Zengfu Wang(",Data-Efficient Masked Video Modeling (DEMVM),Generative / Masked,UCF101; HMDB51,UCF101; HMDB51; Diving48,UCF101; HMDB51; Diving48,2023,ACM Multimedia 2023,No,peer_reviewed,10.1145/3581783.3612496,,https://dl.acm.org/doi/10.1145/3581783.3612496,,,2026-08-11
Enhancing motion visual cues for self-supervised video representation learning,"Mu Nie, Zhibin Quan, Weiping Ding, and Wankou Yang",Enhancing Motion Visual Cues (EMVC),Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,Engineering Applications of Artificial Intelligence 2023,No,peer_reviewed,10.1016/j.engappai.2023.106203,,https://www.sciencedirect.com/science/article/pii/S0952197623003871,,,2026-08-11
Fine-Grained Spatiotemporal Motion Alignment for Contrastive Video Representation Learning,"Minghao Zhu, Xiao Lin, Ronghao Dang, Chengju Liu, Qijun Chen",FIMA,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Diving48; Kinetics-400,UCF101; Kinetics-400; HMDB51; Diving48,2023,ACM Multimedia 2023,No,peer_reviewed,10.1145/3581783.3611932,2309.00297,https://dl.acm.org/doi/10.1145/3581783.3611932,,,2026-08-11
Flavr: Flow-agnostic Video Representations for Fast Frame Interpolation,"Tarun Kalluri, Deepak Pathak, Manmohan Chandraker, and Du Tran",FLAVR,Pretext / Predictive,Vimeo-90K; GoPro,Vimeo-90K; UCF101; DAVIS; Adobe-240FPS; GoPro; SNU-FILM; Middlebury; HMDB51; MPI Sintel; KITTI; DAVIS 2017,Vimeo-90K; GoPro; UCF101; DAVIS; Adobe-240FPS; SNU-FILM; Middlebury; HMDB51; MPI Sintel; KITTI; DAVIS 2017,2023,WACV 2023,No,peer_reviewed,,,https://openaccess.thecvf.com/content/WACV2023/html/Kalluri_FLAVR_Flow-Agnostic_Video_Representations_for_Fast_Frame_Interpolation_WACV_2023_paper.html,,,2026-08-11
HomE: Homography-Equivariant Video Representation Learning,"Anirudh Sriram, Adrien Gaidon, Jiajun Wu, Juan Carlos Niebles, Li Fei-Fei, and Ehsan Adeli",HomE,Pretext / Predictive,Synthetic CIFAR-10; UCF101; Stanford-TRI Intent Prediction,Synthetic CIFAR-10; UCF101; Stanford-TRI Intent Prediction,Synthetic CIFAR-10; UCF101; Stanford-TRI Intent Prediction,2023,arXiv / Preprint,No,preprint,,2306.01623,https://arxiv.org/abs/2306.01623,https://github.com/anirudhs123/HomE,,2026-08-11
Language-based Action Concept Spaces Improve Video Self-Supervised Learning,"Kanchana Ranasinghe, Michael S Ryoo",Language-based Self-Supervision (LSS),Multimodal / Audio-Visual,Kinetics-400,Kinetics-400; UCF101; HMDB51; Charades,Kinetics-400; UCF101; HMDB51; Charades,2023,NeurIPS 2023,Yes,peer_reviewed,10.52202/075280-3277,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ed67dff7cb96e7e86c4d91c0d5db49bb-Abstract-Conference.html,,"Kinetics-400, UCF101, and HMDB51 labels form the base concept vocabulary; the self-supervised training phase itself uses Kinetics-400 videos.",2026-08-11
Learning Fine-Grained Features for Pixel-wise Video Correspondences,"Li, R., Zhou, S., & Liu, D.",Adversarial fine-grained correspondence learning,Pretext / Predictive,FlyingThings3D; YouTube-VOS,BADJA; JHMDB; TAP-Vid-DAVIS; TAP-Vid-Kinetics; DAVIS 2017,FlyingThings3D; YouTube-VOS; BADJA; JHMDB; TAP-Vid-DAVIS; TAP-Vid-Kinetics; DAVIS 2017,2023,ICCV 2023,No,peer_reviewed,10.1109/ICCV51070.2023.00883,2308.03040,https://openaccess.thecvf.com/content/ICCV2023/html/Li_Learning_Fine-Grained_Features_for_Pixel-Wise_Video_Correspondences_ICCV_2023_paper.html,,,2026-08-11
Learning Representational Invariances for Data-Efficient Action Recognition,"Yuliang Zou, Jinwoo Choi, Qitong Wang, Jia-Bin Huang",Representational-invariance augmentation study,Contrastive,UCF101; HMDB51; Kinetics-100; Kinetics-400; Mini Something-Something V2,UCF101; HMDB51; Kinetics-100; Mini Something-Something V2,UCF101; HMDB51; Kinetics-100; Kinetics-400; Mini Something-Something V2,2023,Computer Vision and Image Understanding 2023,No,peer_reviewed,10.1016/j.cviu.2022.103597,2103.16565,https://www.sciencedirect.com/science/article/pii/S1077314222001748,https://github.com/vt-vl-lab/video-data-aug,,2026-08-11
LgNet: A local-global network for action recognition and beyond,"Jiaqi Zhou, Zehua Fu, Qiuyu Huang, Qingjie Liu, Yunhong Wang",LgNet,Other / Hybrid,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2,Kinetics-400; UCF101; HMDB51; Something-Something V2,2023,IEEE Transactions on Multimedia 2023,No,peer_reviewed,10.1109/TMM.2022.3189253,,https://ieeexplore.ieee.org/document/9817623,,,2026-08-11
Masked Motion Encoding for Self-Supervised Video Representation Learning,"Xinyu Sun, Peihao Chen, Liangwei Chen, Thomas H. Li, Mingkui Tan, Chuang Gan",Masked Motion Encoding (MME),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,Kinetics-400; Something-Something V2; UCF101; HMDB51,2023,CVPR 2023,No,peer_reviewed,,2210.06096,https://openaccess.thecvf.com/content/CVPR2023/html/Sun_Masked_Motion_Encoding_for_Self-Supervised_Video_Representation_Learning_CVPR_2023_paper.html,https://github.com/XinyuSun/MME,,2026-08-11
Masked Video Distillation: Rethinking Masked Feature Modeling for Self-supervised Video Representation Learning,"Rui Wang, Dongdong Chen, Zuxuan Wu, Yinpeng Chen, Xiyang Dai, Mengchen Liu, Lu Yuan, Yu-Gang Jiang",Masked Video Distillation (MVD),Distillation / Teacher-Student,ImageNet-1K; Kinetics-400,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2023,CVPR 2023,No,peer_reviewed,,2212.04500,https://openaccess.thecvf.com/content/CVPR2023/html/Wang_Masked_Video_Distillation_Rethinking_Masked_Feature_Modeling_for_Self-Supervised_Video_Representation_CVPR_2023_paper.html,https://github.com/ruiwang2021/mvd,,2026-08-11
MGMAE: Motion Guided Masking for Video Masked Autoencoding,"Bingkun Huang, Zhiyu Zhao, Guozhen Zhang, Yu Qiao, Limin Wang",MGMAE,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2023,ICCV 2023,No,peer_reviewed,,2308.10794,https://openaccess.thecvf.com/content/ICCV2023/html/Huang_MGMAE_Motion_Guided_Masking_for_Video_Masked_Autoencoding_ICCV_2023_paper.html,https://github.com/MCG-NJU/MGMAE,,2026-08-11
Modeling Video As Stochastic Processes for Fine-Grained Video Representation Learning,"Zhang, H., Liu, D., Zheng, Q., & Su, B.",Video Stochastic Processes (VSP),Contrastive,ImageNet-1K; Penn Action; Pouring; IKEA ASM; FineGym,Penn Action; Pouring; IKEA ASM; FineGym Gym99; FineGym Gym288,ImageNet-1K; Penn Action; Pouring; IKEA ASM; FineGym; FineGym Gym99; FineGym Gym288,2023,CVPR 2023,No,peer_reviewed,,,https://openaccess.thecvf.com/content/CVPR2023/html/Zhang_Modeling_Video_As_Stochastic_Processes_for_Fine-Grained_Video_Representation_Learning_CVPR_2023_paper.html,,,2026-08-11
Motion-Guided Masking for Spatiotemporal Representation Learning,"David Fan, Jue Wang, Shuai Liao, Yi Zhu, Vimal Bhat, Hector Santos-Villalobos, Rohith MV, Xinyu Li",Motion-Guided Masking (MGM),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,2023,ICCV 2023,No,peer_reviewed,,2308.12962,https://openaccess.thecvf.com/content/ICCV2023/html/Fan_Motion-Guided_Masking_for_Spatiotemporal_Representation_Learning_ICCV_2023_paper.html,,,2026-08-11
Multi-scale Compositional Constraints for Representation Learning on Videos,"Georgios Paraskevopoulos, Chandrashekhar Lavania, Lovish Chum, and Shiva Sundaram",Multi-scale compositional AVID-CMA,Multimodal / Audio-Visual,AudioSet,UCF101; SumMe,AudioSet; UCF101; SumMe,2023,ICASSP 2023,No,peer_reviewed,,,https://www.amazon.science/publications/multi-scale-compositional-constraints-for-representation-learning-on-videos,,Experiments initialize from an AVID-CMA checkpoint pretrained on the balanced 18K subset of AudioSet.,2026-08-11
Nearest-Neighbor Inter-Intra Contrastive Learning from Unlabeled Videos,"David Fan, Deyu Yang, Xinyu Li, Vimal Bhat, and Rohith MV",Inter-Intra Video Contrastive Learning (IIVCL),Contrastive,Kinetics-400,UCF101; HMDB51; Kinetics-400; Something-Something V2; AVA,Kinetics-400; UCF101; HMDB51; Something-Something V2; AVA,2023,ICLR Workshops 2023,No,peer_reviewed,,2303.07317,https://openreview.net/forum?id=-5_B8g3CcSr,,,2026-08-11
OmniMAE: Single Model Masked Pretraining on Images and Videos,"Rohit Girdhar, Alaaeldin El-Nouby, Mannat Singh,Kalyan Vasudev Alwala, Armand Joulin , Ishan Misra",OmniMAE,Generative / Masked,ImageNet-1K; Something-Something V2,ImageNet-1K; iNaturalist 2018; Places365; Kinetics-400; Something-Something V2; EPIC-KITCHENS-100,ImageNet-1K; Something-Something V2; iNaturalist 2018; Places365; Kinetics-400; EPIC-KITCHENS-100,2023,CVPR 2023,No,peer_reviewed,,2206.08356,https://openaccess.thecvf.com/content/CVPR2023/html/Girdhar_OmniMAE_Single_Model_Masked_Pretraining_on_Images_and_Videos_CVPR_2023_paper.html,https://github.com/facebookresearch/omnivore,,2026-08-11
Previts: contrastive pretraining with video tracking supervision,"Chen, B., Selvaraju, R. R., Chang, S. F., Niebles, J. C., & Naik, N.",PreViTS,Contrastive,VGGSound; Kinetics-400,UCF101; ImageNet-1K; DAVIS; JHMDB; Backgrounds Challenge,VGGSound; Kinetics-400; UCF101; ImageNet-1K; DAVIS; JHMDB; Backgrounds Challenge,2023,WACV 2023,No,peer_reviewed,,2112.00804,https://openaccess.thecvf.com/content/WACV2023/html/Chen_PreViTS_Contrastive_Pretraining_With_Video_Tracking_Supervision_WACV_2023_paper.html,,,2026-08-11
Self-Supervised Audio-Visual Representation Learning with Relaxed Cross-Modal Synchronicity,"Pritam Sarkar, Ali Etemad",CrissCross,Multimodal / Audio-Visual,Kinetics-Sounds; Kinetics-400; AudioSet,Kinetics-400; UCF101; HMDB51; ESC-50; DCASE,Kinetics-Sounds; Kinetics-400; AudioSet; UCF101; HMDB51; ESC-50; DCASE,2023,AAAI 2023,No,peer_reviewed,,2111.05329,https://ojs.aaai.org/index.php/AAAI/article/view/25138,https://pritamqu.github.io/CrissCross,,2026-08-11
Self-Supervised Contrastive Learning for Audio-Visual Action Recognition,"Yang Liu, Ying Tan, Haoyuan Lan",Audio-Visual Contrastive Learning (AVCL),Multimodal / Audio-Visual,Kinetics-Sounds32; Kinetics-Sounds100,Kinetics-Sounds32; Kinetics-Sounds100,Kinetics-Sounds32; Kinetics-Sounds100,2023,ICIP 2023,No,peer_reviewed,,2204.13386,https://ieeexplore.ieee.org/document/10222383,,,2026-08-11
Self-Supervised Learning from Untrimmed Videos via Hierarchical Consistency,"Zhiwu Qing, Shiwei Zhang, Ziyuan Huang, Yi Xu, Xiang Wang, Changxin Gao, Rong Jin, and Nong Sang",Hierarchical Consistency Learning (HiCo),Contrastive,Kinetics-400; Untrimmed Kinetics-400,UCF101; HMDB51; ActivityNet,Kinetics-400; Untrimmed Kinetics-400; UCF101; HMDB51; ActivityNet,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence 2023,No,peer_reviewed,10.1109/TPAMI.2023.3273415,,https://ieeexplore.ieee.org/document/10119224,,The journal study compares standard Kinetics-400 with a 157K-video Untrimmed Kinetics-400 corpus and evaluates action localization on ActivityNet.,2026-08-11
Self-supervised motion perception for spatiotemporal representation learning,"Chang Liu, Yuan Yao, Dezhao Luo, Yu Zhou, Qixiang Ye",Self-Supervised Motion Perception (SMP),Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51,UCF101; Kinetics-400; HMDB51,2023,IEEE Transactions on Neural Networks and Learning Systems 2023,No,peer_reviewed,10.1109/TNNLS.2022.3160860,,https://ieeexplore.ieee.org/document/9745754,https://github.com/yuanyao366/SMP,,2026-08-11
Self-supervised object-centric learning for videos,"Görkay Aydemir, Weidi Xie, Fatma Guney",SOLV,Other / Hybrid,MOVi-E; DAVIS 2017; YouTube-VIS 2019,MOVi-E; DAVIS 2017; YouTube-VIS 2019,MOVi-E; DAVIS 2017; YouTube-VIS 2019,2023,NeurIPS 2023,Yes,peer_reviewed,10.52202/075280-1424,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/67b0e7c7c2a5780aeefe3b79caac106e-Abstract-Conference.html,,,2026-08-11
Self-supervised pretext task collaborative multi-view contrastive learning for video action recognition,"Shuai Bi, Zhengping Hu, Mengyao Zhao, Hehao Zhang, Jirui Di, and Zhe Sun",Pretext-task collaborative multi-view contrastive learning,Other / Hybrid,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,"Signal, Image and Video Processing 2023",No,peer_reviewed,10.1007/s11760-023-02605-z,,https://link.springer.com/article/10.1007/s11760-023-02605-z,,,2026-08-11
Self-Supervised Scene-Debiasing for Video Representation Learning via Background Patching,"Maregu Assefa, Wei Jiang, Kumie Gedamu, Getinet Yilma, Bulbula Kumeda, Melese Ayalew",Background Patching,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2023,IEEE Transactions on Multimedia 2023,No,peer_reviewed,10.1109/TMM.2022.3193559,,https://ieeexplore.ieee.org/document/9839482,,,2026-08-11
Self-supervised video pretraining yields robust and more human-aligned visual representation,"Nikhil Parthasarathy, S. M. Ali Eslami, João Carreira, Olivier J. Hénaff.",VITO,Contrastive,VideoNet; AudioSet; YouTube-8M; Kinetics-700; ImageNet-1K; JFT-300M,ADE20K; COCO; DAVIS; UCF101; PASCAL VOC; LVIS; ImageNet-1K; ImageNet-A; ImageNet-Vid-Robust; ImageNet-3DCC; ClickMe,VideoNet; AudioSet; YouTube-8M; Kinetics-700; ImageNet-1K; JFT-300M; ADE20K; COCO; DAVIS; UCF101; PASCAL VOC; LVIS; ImageNet-A; ImageNet-Vid-Robust; ImageNet-3DCC; ClickMe,2023,NeurIPS 2023,Yes,peer_reviewed,10.52202/075280-2869,,https://proceedings.neurips.cc/paper_files/paper/2023/hash/cf57022dff0929796f85ac99d7cefa86-Abstract-Conference.html,,VideoNet is the paper's 1.18M-video corpus curated to approximate the ImageNet category distribution; other pretraining datasets appear in controlled comparisons.,2026-08-11
Self-Supervised Video Representation Learning via Latent Time Navigation,"Di Yang, Yaohui Wang, Quan Kong, Antitza Dantcheva, Lorenzo Garattoni, Gianpiero Francesca, and Francois Bremond",Latent Time Navigation (LTN),Contrastive,Kinetics-400,Toyota Smarthome; Kinetics-400; UCF101; HMDB51,Kinetics-400; Toyota Smarthome; UCF101; HMDB51,2023,AAAI 2023,No,peer_reviewed,10.1609/aaai.v37i3.25416,2305.06437,https://ojs.aaai.org/index.php/AAAI/article/view/25416,,,2026-08-11
Self-Supervised Video-Based Action Recognition With Disturbances,"Wei Lin, Xinghao Ding, Yue Huang, Huanqiang Zeng",VARD,Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,IEEE Transactions on Image Processing 2023,No,peer_reviewed,10.1109/TIP.2023.3269228,,https://ieeexplore.ieee.org/document/10109672,,,2026-08-11
Similarity Contrastive Estimation for Image and Video Soft Contrastive Self-Supervised Learning,"Julien Denize, Jaonary Rabarisoa, Astrid Orcesi, Romain H´erault",Similarity Contrastive Estimation (SCE),Contrastive,ImageNet-1K; ImageNet-100; Kinetics-200; Kinetics-400,CIFAR-10; CIFAR-100; STL-10; Tiny ImageNet; PASCAL VOC 2007; COCO; UCF101; HMDB51; Kinetics-400; AVA; Something-Something V2,ImageNet-1K; ImageNet-100; Kinetics-200; Kinetics-400; CIFAR-10; CIFAR-100; STL-10; Tiny ImageNet; PASCAL VOC 2007; COCO; UCF101; HMDB51; AVA; Something-Something V2,2023,Machine Vision and Applications 2023,No,peer_reviewed,10.1007/s00138-023-01444-9,2212.11187,https://link.springer.com/article/10.1007/s00138-023-01444-9,,,2026-08-11
SOR-TC: Self-attentive octave ResNet with temporal consistency for compressed video action recognition,"Junsan Zhang, Xiaomin Wang, Yao Wan, Leiquan Wang, Jian Wang, Philip S. Yu",SOR-TC,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,Neurocomputing 2023,No,peer_reviewed,10.1016/j.neucom.2023.02.045,,https://www.sciencedirect.com/science/article/pii/S0925231223001959,,,2026-08-11
Spatio-Temporal Crop Aggregation for Video Representation Learning,"Sepehr Sameni, Simon Jenni, Paolo Favaro",SCALE,Other / Hybrid,Kinetics-400; UCF101; HMDB51; Something-Something V2,Kinetics-400; UCF101; HMDB51; Something-Something V2; Long-form Video Understanding (LVU),Kinetics-400; UCF101; HMDB51; Something-Something V2; Long-form Video Understanding (LVU),2023,ICCV 2023,No,peer_reviewed,,2211.17042,https://openaccess.thecvf.com/content/ICCV2023/html/Sameni_Spatio-Temporal_Crop_Aggregation_for_Video_Representation_Learning_ICCV_2023_paper.html,,,2026-08-11
Spatiotemporal Augmentation on Selective Frequencies for Video Representation Learning,"Jinhyung Kim, Taeoh Kim, Minho Shim, Dongyoon Han, Dongyoon Wee, Junmo Kim",Frequency Selective Augmentation (FreqAug),Contrastive,Mini-Kinetics; Kinetics-400,Mini-Kinetics; Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48; Breakfast,Mini-Kinetics; Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48; Breakfast,2023,AAAI 2023,No,peer_reviewed,10.1609/aaai.v37i1.25194,2204.03865,https://ojs.aaai.org/index.php/AAAI/article/view/25194,,,2026-08-11
Spatiotemporal consistency enhancement self-supervised representation learning for action recognition,"Shuai Bi, Zhengping Hu, Mengyao Zhao, Shufang Li & Zhe Sun",Spatiotemporal Consistency Enhancement (STCE),Contrastive,UCF101; HMDB51,UCF101; HMDB51,UCF101; HMDB51,2023,"Signal, Image and Video Processing 2023",No,peer_reviewed,10.1007/s11760-022-02357-2,,https://link.springer.com/article/10.1007/s11760-022-02357-2,,,2026-08-11
Temporal Contrastive Learning with Curriculum,Shuvendu Roy and Ali Etemad,Contrastive Curriculum Learning (ConCur),Contrastive,Kinetics-400; Kinetics-200,UCF101; HMDB51,Kinetics-400; Kinetics-200; UCF101; HMDB51,2023,ICASSP 2023,No,peer_reviewed,,2209.00760,https://ieeexplore.ieee.org/document/10095948,,,2026-08-11
Temporal Transformer Networks with Self-Supervision for Action Recognition,"Yongkang Zhang, Jun Li, Guoming Wu, Han Zhang, Zhiping Shi, Member, IEEE, Zhaoxun Liu, Zizhang Wu",Temporal Transformer Self-Supervision Network (TTSN),Pretext / Predictive,ImageNet-1K; Kinetics-400,HMDB51; UCF101; Something-Something V1,ImageNet-1K; Kinetics-400; HMDB51; UCF101; Something-Something V1,2023,IEEE Internet of Things Journal 2023,No,peer_reviewed,10.1109/JIOT.2023.3257992,2112.07338,https://ieeexplore.ieee.org/document/10064011,,,2026-08-11
TimeBalance: Temporally-Invariant and Temporally-Distinctive Video Representations for Semi-Supervised Action Recognition,"Ishan Rajendrakumar Dave, Mamshad Nayeem Rizve, Chen Chen, Mubarak Shah",TimeBalance,Distillation / Teacher-Student,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2023,CVPR 2023,No,peer_reviewed,,2303.16268,https://openaccess.thecvf.com/content/CVPR2023/html/Dave_TimeBalance_Temporally-Invariant_and_Temporally-Distinctive_Video_Representations_for_Semi-Supervised_Action_Recognition_CVPR_2023_paper.html,https://github.com/DAVEISHAN/TimeBalance,,2026-08-11
